,date,avg_price,total_sold,small_sold,large_sold,xl_sold,total_bags_sold,small_bags_sold,large_bags_sold,xl_bags_sold
0,2016-12-25,1.0,30290000000,9255000000.0,10280000000.0,542000000.0,10210000000,7710000000,2417000000,81101.22
1,2016-12-18,0.96,29580000000,9394000000.0,10340000000.0,427900000.0,9423000000,6970000000,2358000000,94011.78
2,2016-12-11,0.98,30090000000,9010000000.0,,403000000.0,10710000000,8149000000,2490000000,73342.82
3,2016-12-04,1.0,31620000000,11040000000.0,9909000000.0,428000000.0,10240000000,7187000000,2989000000,65350.63
4,2016-11-27,1.21,22920000000,7891000000.0,7337000000.0,,7350000000,5691000000,1610000000,48623.28
5,2016-11-20,1.27,24990000000,,8034000000.0,407600000.0,8017000000,6207000000,1766000000,44709.4
6,2016-11-13,1.36,24080000000,8235000000.0,7760000000.0,477500000.0,7603000000,5603000000,1957000000,43104.31
7,2016-11-06,1.44,22530000000,7804000000.0,,505300000.0,7098000000,5245000000,1812000000,40918.74
8,2016-10-30,1.43,21010000000,7100000000.0,6852000000.0,453100000.0,6604000000,4655000000,1883000000,66283.51
9,2016-10-23,1.34,24750000000,7580000000.0,8105000000.0,452400000.0,8617000000,6509000000,2017000000,91798.83
10,2016-10-16,1.3,27710000000,8811000000.0,,447300000.0,9594000000,6934000000,2575000000,84553.37
11,2016-10-09,1.27,28860000000,9553000000.0,9579000000.0,491000000.0,9235000000,6849000000,2316000000,69278.75
12,2016-10-02,1.23,29620000000,9535000000.0,9124000000.0,490100000.0,10470000000,7409000000,2981000000,76030.52
13,2016-09-25,1.22,30310000000,10550000000.0,9256000000.0,492600000.0,10010000000,7440000000,2476000000,91688.3
14,2016-09-18,1.15,31350000000,11340000000.0,9481000000.0,486200000.0,10040000000,7650000000,2311000000,79996.5
15,2016-09-11,1.08,34130000000,12960000000.0,,512200000.0,10270000000,8200000000,2016000000,55304.06
16,2016-09-04,1.04,37130000000,14640000000.0,11080000000.0,,10860000000,8555000000,2214000000,93326.07
17,2016-08-28,1.09,33990000000,12560000000.0,10420000000.0,563700000.0,10450000000,8504000000,1785000000,159271.47
18,2016-08-21,1.1,33590000000,12730000000.0,9906000000.0,609700000.0,10350000000,8749000000,1446000000,155008.66
19,2016-08-14,1.12,34390000000,12350000000.0,,749200000.0,10400000000,8480000000,1813000000,111938.56
20,2016-08-07,1.15,33820000000,12200000000.0,10730000000.0,754500000.0,10140000000,8386000000,1570000000,181048.76
21,2016-07-31,1.23,31200000000,10170000000.0,10420000000.0,783900000.0,9825000000,8193000000,1432000000,199967.39
22,2016-07-24,1.2,32340000000,10330000000.0,10800000000.0,948000000.0,10260000000,8316000000,1561000000,387400.22
23,2016-07-17,1.15,32660000000,10320000000.0,10630000000.0,953600000.0,10750000000,8738000000,1625000000,390478.73
24,2016-07-10,1.1,35570000000,11460000000.0,11680000000.0,1266000000.0,11170000000,8985000000,1728000000,454343.65
25,2016-07-03,1.06,39990000000,12510000000.0,13320000000.0,1761000000.0,12410000000,9968000000,1888000000,551693.65
26,2016-06-26,1.04,36620000000,12190000000.0,12030000000.0,1625000000.0,10770000000,8835000000,1610000000,328589.09
27,2016-06-19,1.02,38490000000,13490000000.0,12840000000.0,1643000000.0,10520000000,8223000000,1975000000,317018.94
28,2016-06-12,1.04,35580000000,12290000000.0,11530000000.0,1607000000.0,10150000000,8040000000,1797000000,311439.99
29,2016-06-05,0.97,40230000000,13810000000.0,13400000000.0,1771000000.0,11250000000,8493000000,2441000000,321033.23
30,2016-05-29,0.94,40020000000,13680000000.0,13830000000.0,,10920000000,8086000000,2658000000,180120.85
31,2016-05-22,0.93,36960000000,11710000000.0,12980000000.0,1641000000.0,10620000000,7836000000,2563000000,224991.99
32,2016-05-15,0.89,39910000000,12450000000.0,14440000000.0,,11280000000,7987000000,3143000000,146047.01
33,2016-05-08,0.82,46320000000,14220000000.0,17900000000.0,1994000000.0,12210000000,8748000000,3343000000,120650.09
34,2016-05-01,0.84,42870000000,13750000000.0,15900000000.0,1414000000.0,11800000000,8376000000,3366000000,62734.87
35,2016-04-24,0.87,39610000000,12910000000.0,14380000000.0,1600000000.0,10710000000,7836000000,2801000000,75010.64
36,2016-04-17,0.9,37470000000,,12900000000.0,1896000000.0,10720000000,8129000000,2467000000,125169.4
37,2016-04-10,0.9,36580000000,12880000000.0,,1666000000.0,10500000000,7809000000,2613000000,77737.02
38,2016-04-03,0.94,33670000000,11320000000.0,11510000000.0,1732000000.0,9103000000,6830000000,2213000000,59188.81
39,2016-03-27,0.94,35930000000,11250000000.0,12750000000.0,1880000000.0,10060000000,7745000000,2228000000,82386.14
40,2016-03-20,0.93,36340000000,,13730000000.0,1773000000.0,9701000000,7249000000,2374000000,77638.79
41,2016-03-13,0.93,36370000000,11660000000.0,13100000000.0,1800000000.0,9808000000,7231000000,2521000000,55589.0
42,2016-03-06,0.95,35060000000,11820000000.0,12200000000.0,1686000000.0,9357000000,7503000000,1748000000,106815.12
43,2016-02-28,0.91,36800000000,11910000000.0,13210000000.0,1560000000.0,10120000000,7252000000,2802000000,69494.92
44,2016-02-21,0.94,32800000000,,12000000000.0,1375000000.0,9410000000,7213000000,2151000000,45654.02
45,2016-02-14,0.88,36480000000,11910000000.0,13190000000.0,1811000000.0,9564000000,7102000000,2387000000,74421.62
46,2016-02-07,0.76,52290000000,16570000000.0,20470000000.0,2546000000.0,12700000000,9083000000,3373000000,241661.48
47,2016-01-31,0.93,34720000000,11100000000.0,13280000000.0,1644000000.0,8701000000,6685000000,1824000000,192999.8
48,2016-01-24,0.95,32790000000,7020000000.0,14050000000.0,1440000000.0,10270000000,7438000000,2668000000,165014.74
49,2016-01-17,0.94,34430000000,10040000000.0,13830000000.0,1419000000.0,9138000000,6846000000,2228000000,63337.4
50,2016-01-10,0.93,35260000000,,13230000000.0,1283000000.0,9314000000,6735000000,2528000000,50874.09
51,2016-01-03,0.86,38140000000,,16050000000.0,1560000000.0,8911000000,6465000000,2287000000,159083.8
